ID,fault,strike,dip,nx,ny,nz
1425,EW1,90.0,90.0,0.0,1.0,0.0
1426,EW1,90.0,90.0,0.0,1.0,0.0
1427,EW1,90.0,90.0,0.0,1.0,0.0
1428,EW1,90.0,90.0,0.0,1.0,0.0
1429,EW1,90.0,90.0,0.0,1.0,0.0
1430,EW1,90.0,90.0,0.0,1.0,0.0
1431,EW1,90.0,90.0,0.0,1.0,0.0
1432,EW1,90.0,90.0,0.0,1.0,0.0
1433,EW1,90.0,90.0,0.0,1.0,0.0
1434,EW1,90.0,90.0,0.0,1.0,0.0
1435,EW1,90.0,90.0,0.0,1.0,0.0
1436,EW1,90.0,90.0,0.0,1.0,0.0
1437,EW1,90.0,90.0,0.0,1.0,0.0
1438,EW1,90.0,90.0,0.0,1.0,0.0
1439,EW1,90.0,90.0,0.0,1.0,0.0
1440,EW1,90.0,90.0,0.0,1.0,0.0
1441,EW1,90.0,90.0,0.0,1.0,0.0
1442,EW1,90.0,90.0,0.0,1.0,0.0
1443,EW1,90.0,90.0,0.0,1.0,0.0
1444,EW1,90.0,90.0,0.0,1.0,0.0
1445,EW1,90.0,90.0,0.0,1.0,0.0
1446,EW1,90.0,90.0,0.0,1.0,0.0
1447,EW1,90.0,90.0,0.0,1.0,0.0
1448,EW1,90.0,90.0,0.0,1.0,0.0
1449,EW1,90.0,90.0,0.0,1.0,0.0
1450,EW1,90.0,90.0,0.0,1.0,0.0
1451,EW1,90.0,90.0,0.0,1.0,0.0
1452,EW1,90.0,90.0,0.0,1.0,0.0
1453,EW1,90.0,90.0,0.0,1.0,0.0
1454,EW1,90.0,90.0,0.0,1.0,0.0
1455,EW1,90.0,90.0,0.0,1.0,0.0
1456,EW1,90.0,90.0,0.0,1.0,0.0
1457,EW1,90.0,90.0,0.0,1.0,0.0
1458,EW1,90.0,90.0,0.0,1.0,0.0
1459,EW1,90.0,90.0,0.0,1.0,0.0
1460,EW1,90.0,90.0,0.0,1.0,0.0
1461,EW1,90.0,90.0,0.0,1.0,0.0
1462,EW1,90.0,90.0,0.0,1.0,0.0
1463,EW1,90.0,90.0,0.0,1.0,0.0
1464,EW1,90.0,90.0,0.0,1.0,0.0
1465,EW1,90.0,90.0,0.0,1.0,0.0
1466,EW1,90.0,90.0,0.0,1.0,0.0
1467,EW1,90.0,90.0,0.0,1.0,0.0
1468,EW1,90.0,90.0,0.0,1.0,0.0
1469,EW1,90.0,90.0,0.0,1.0,0.0
1470,EW1,90.0,90.0,0.0,1.0,0.0
1471,EW1,90.0,90.0,0.0,1.0,0.0
1472,EW1,90.0,90.0,0.0,1.0,0.0
1473,EW1,90.0,90.0,0.0,1.0,0.0
1474,EW1,90.0,90.0,0.0,1.0,0.0
1475,EW1,90.0,90.0,0.0,1.0,0.0
1476,EW1,90.0,90.0,0.0,1.0,0.0
1477,EW1,90.0,90.0,0.0,1.0,0.0
1478,EW1,90.0,90.0,0.0,1.0,0.0
1479,EW1,90.0,90.0,0.0,1.0,0.0
1480,EW1,90.0,90.0,0.0,1.0,0.0
1481,EW1,90.0,90.0,0.0,1.0,0.0
1482,EW1,90.0,90.0,0.0,1.0,0.0
1483,EW1,90.0,90.0,0.0,1.0,0.0
1484,EW1,90.0,90.0,0.0,1.0,0.0
1485,EW1,90.0,90.0,0.0,1.0,0.0
1486,EW1,90.0,90.0,0.0,1.0,0.0
1487,EW1,90.0,90.0,0.0,1.0,0.0
1488,EW1,90.0,90.0,0.0,1.0,0.0
1489,EW1,90.0,90.0,0.0,1.0,0.0
1490,EW1,90.0,90.0,0.0,1.0,0.0
1491,EW1,90.0,90.0,0.0,1.0,0.0
1492,EW1,90.0,90.0,0.0,1.0,0.0
1493,EW1,90.0,90.0,0.0,1.0,0.0
1494,EW1,90.0,90.0,0.0,1.0,0.0
1495,EW1,90.0,90.0,0.0,1.0,0.0
1496,EW1,90.0,90.0,0.0,1.0,0.0
1497,EW1,90.0,90.0,0.0,1.0,0.0
1498,EW1,90.0,90.0,0.0,1.0,0.0
1499,EW1,90.0,90.0,0.0,1.0,0.0
1500,EW1,90.0,90.0,0.0,1.0,0.0
1501,EW1,90.0,90.0,0.0,1.0,0.0
1502,EW1,90.0,90.0,0.0,1.0,0.0
1503,EW1,90.0,90.0,0.0,1.0,0.0
