,P,H,T
0,244.58909400001016,8898.022122521255,386.667689312399
1,244.5890928624974,8898.022120902164,386.66768931081293
2,244.58909132472186,8898.022118871817,386.66768931077394
3,244.58908890800606,8898.022115686992,386.66768931079247
4,244.58908534666745,8898.022110993115,386.6676893108114
5,244.58908025930094,8898.02210428384,386.66768931078445
6,244.5890732157664,8898.02209499901,386.66768931080344
7,244.589064027086,8898.022082891855,386.6676893109004
8,244.58905578047143,8898.022071914249,386.6676893095027
9,244.58904997377675,8898.022064206094,386.66768930880437
10,244.58904408948487,8898.022056489972,386.66768930935933
11,244.5890382911224,8898.022048881314,386.66768930983704
12,244.58903255623972,8898.022041348031,386.66768931020414
13,244.58902675950463,8898.022033718098,386.66768931037103
14,244.58902083387065,8898.022025907401,386.66768931039314
15,244.58901469838938,8898.02201781461,386.66768931034426
16,244.58900831371236,8898.022009389808,386.6676893102491
17,244.58900158639176,8898.022000512161,386.6676893101387
18,244.58899446130286,8898.021991108675,386.6676893100098
19,244.5889869598539,8898.021981211585,386.66768930991515
20,244.58897919133,8898.02197096783,386.66768930989326
21,244.58897127820967,8898.02196054232,386.66768930998904
22,244.5889634266942,8898.02195021053,386.66768931025115
23,244.58895823707513,8898.021943097581,386.6676893066522
24,244.58895544506888,8898.021939128683,386.6676893028282
25,244.58895302131398,8898.021935957126,386.6676893031455
26,244.58895105169893,8898.021933397627,386.6676893036409
27,244.58894955293272,8898.021931450585,386.66768930402543
28,244.58894853291744,8898.021930123825,386.6676893042649
29,244.5889479666014,8898.021929381941,386.66768930432755
30,244.5889477868398,8898.021929134515,386.66768930418914
31,244.5889479409158,8898.021929314345,386.66768930388014
32,244.58894838898217,8898.021929871724,386.6676893034371
33,244.58894903775987,8898.021930695151,386.667689303013
34,244.58895035912883,8898.02193292511,386.6676893094935
35,244.5889524057163,8898.021935657629,386.667689309949
36,244.58895381344473,8898.021937481673,386.6676893095245
37,244.58895431591293,8898.021938112613,386.66768930910644
38,244.58895400055138,8898.021937673748,386.6676893087993
39,244.58895277871966,8898.021936046724,386.6676893085844
40,244.58895060087374,8898.021933167483,386.6676893084792
41,244.5889473735765,8898.021928907885,386.6676893084169
42,244.58894312847804,8898.02192331171,386.66768930842494
43,244.58893788641063,8898.02191640808,386.66768930852504
44,244.5889315952562,8898.021908127825,386.66768930871183
45,244.5889242155877,8898.02189842501,386.6676893090655
46,244.58891581697623,8898.021887388604,386.66768930954953
47,244.58890955912761,8898.021878926518,386.6676893067364
48,244.58890568125722,8898.021873590176,386.66768930376486
49,244.58890191724586,8898.021868683529,386.6676893045068
50,244.58889839563577,8898.021864104301,386.6676893053531
51,244.5888952134829,8898.021859963099,386.66768930607265
52,244.58889243061228,8898.021856333045,386.66768930659
53,244.58889005712493,8898.021853226664,386.6676893068934
54,244.58888811076002,8898.021850673165,386.6676893070605
55,244.5888865443654,8898.021848605504,386.6676893070273
56,244.5888853192966,8898.021846970634,386.66768930676534
57,244.58888437206366,8898.021845673906,386.6676893061292
58,244.58888308813877,8898.021844263987,386.66768930988616
59,244.5888814828057,8898.021842157017,386.6676893100125
60,244.58887952876606,8898.021839552079,386.6676893096305
61,244.58887698282544,8898.021836170605,386.6676893093004
62,244.58887374979054,8898.0218318841,386.66768930898115
63,244.5888698105354,8898.021826671991,386.6676893087347
64,244.58886516344276,8898.021820533968,386.66768930858484
65,244.58885977042425,8898.021813419457,386.66768930852766
66,244.5888536398166,8898.021805336892,386.6676893085286
67,244.5888468616859,8898.021796403855,386.66768930857336
68,244.58883946628205,8898.021786662504,386.6676893086898
69,244.5888314854466,8898.02177615342,386.66768930886207
70,244.5888229019643,8898.021764854808,386.66768930909956
71,244.5888138656194,8898.02175296211,386.6676893093772
72,244.58880476715302,8898.021741010009,386.6676893099537
73,244.58879877997765,8898.021733074984,386.66768930940276
74,244.5887957387087,8898.021728911866,386.6676893073638
75,244.58879323456898,8898.021725644137,386.6676893078127
76,244.5887914301218,8898.021723285772,386.6676893080866
77,244.58879030800503,8898.021721814248,386.6676893081913
78,244.5887898828976,8898.02172125181,386.6676893081654
79,244.58879010261282,8898.021721523774,386.6676893079298
80,244.5887909372981,8898.021722590727,386.6676893074848
81,244.588792401987,8898.021724477778,386.6676893069001
82,244.58879441123926,8898.021727065763,386.66768930608976
83,244.58879691671655,8898.021730287232,386.66768930500314
84,244.5888020173912,8898.021737325344,386.6676893091659
85,244.58880993178815,8898.02174776919,386.66768930929055
86,244.58881781721132,8898.02175811968,386.6676893086837
87,244.5888254601324,8898.021768147875,386.6676893080417
88,244.5888329910113,8898.021778038019,386.66768930752863
89,244.58884037612103,8898.021787743675,386.6676893071178
90,244.58884728245832,8898.021796824803,386.6676893067954
91,244.5888561570634,8898.02180870018,386.6676893091207
92,244.58886480162053,8898.021820117236,386.6676893093862
93,244.58887015296827,8898.021827162762,386.66768930925645
94,244.58887261909445,8898.021830409736,386.6676893091983
95,244.5890940067784,8898.022122328148,386.6676893097146
96,244.5890929415545,8898.022120802005,386.6676893080977
97,244.58909138855842,8898.022118765717,386.66768930824696
98,244.58908895349504,8898.022115566604,386.66768930839675
99,244.58908538415588,8898.022110876569,386.6676893086067
100,244.58908028393617,8898.022104168864,386.6676893088258
101,244.58907324963337,8898.022094917522,386.667689309128
102,244.58906402966056,8898.022082772486,386.66768930926935
103,244.58905573920816,8898.022071650232,386.66768930671805
104,244.58904997324726,8898.022064038798,386.66768930659117
105,244.58904416117926,8898.022056443326,386.667689307484
106,244.58903839759353,8898.022048894558,386.66768930814857
107,244.58903269086636,8898.02204140424,386.6676893085933
108,244.58902692399332,8898.022033817697,386.6676893088132
109,244.58902101054673,8898.022026021541,386.6676893088156
110,244.58901488278093,8898.02201793579,386.6676893087247
111,244.5890084627337,8898.022009462768,386.66768930860866
112,244.58900170336287,8898.022000540195,386.66768930846234
113,244.58899458966366,8898.021991151727,386.6676893083339
114,244.5889870809255,8898.02198124996,386.6676893083044
115,244.58897921107487,8898.021970878766,386.66768930836406
116,244.58897102239465,8898.021960099943,386.6676893085928
117,244.58896278691913,8898.021949234904,386.6676893084955
118,244.5889573655863,8898.021941427402,386.6676892997285
119,244.5889544759963,8898.021937380667,386.6676892965798
120,244.58895200638952,8898.021934166272,386.66768929713163
121,244.58895005437466,8898.021931644666,386.66768929782125
122,244.5889485927772,8898.021929754523,386.6676892983108
123,244.58894761563963,8898.021928483056,386.66768929853373
124,244.58894711799596,8898.021927825708,386.66768929851713
125,244.58894702487788,8898.021927677079,386.6676892981738
126,244.5889472752532,8898.021927960299,386.66768929755114
127,244.58894782132006,8898.021928618824,386.6676892967356
128,244.58894856982164,8898.021929801267,386.6676892993335
129,244.58894997632234,8898.021932313164,386.66768930806865
130,244.58895201057334,8898.021934998675,386.6676893081157
131,244.58895342227422,8898.02193680642,386.66768930740596
132,244.58895391745924,8898.021937410625,386.66768930675954
133,244.58895365836796,8898.02193703658,386.66768930632844
134,244.58895253521004,8898.021935538138,386.6676893060935
135,244.58895036912676,8898.021932677042,386.6676893060228
136,244.58894714355975,8898.021928425313,386.667689306035
137,244.58894293004533,8898.021922886419,386.66768930625045
138,244.58893761910613,8898.021915906153,386.66768930653876
139,244.58893123283153,8898.02190752894,386.66768930710344
140,244.58892348871322,8898.021897368504,386.66768930776135
141,244.58891475487465,8898.021885890832,386.667689308254
142,244.58890803215402,8898.021876504692,386.66768930130854
143,244.5889040033248,8898.021871052933,386.66768929944703
144,244.58890015122844,8898.021866077577,386.6676893008194
145,244.58889659371383,8898.021861482657,386.66768930208553
146,244.58889341598996,8898.021857369109,386.66768930309524
147,244.58889068106336,8898.021853819635,386.66768930384296
148,244.58888840094215,8898.02185085269,386.66768930436353
149,244.5888865372284,8898.021848410135,386.667689304557
150,244.58888506826727,8898.021846460362,386.66768930438315
151,244.588883969772,8898.021844962232,386.6676893037211
152,244.58888316410858,8898.021843999151,386.66768930503764
153,244.58888210948845,8898.021842937726,386.667689309408
154,244.58888063189514,8898.021840958729,386.66768930899696
155,244.58887877321553,8898.021838464414,386.6676893084154
156,244.58887628886322,8898.021835147478,386.66768930786293
157,244.58887310816593,8898.021830923602,386.6676893074595
158,244.58886919142842,8898.02182573379,386.66768930711476
159,244.58886452361804,8898.021819564943,386.66768930691825
160,244.5888591107266,8898.021812426241,386.66768930688744
161,244.58885299864673,8898.021804378279,386.6676893070246
162,244.58884622339698,8898.021795461944,386.6676893072392
163,244.58883885771894,8898.021785776313,386.66768930757627
164,244.58883083414642,8898.021775230218,386.66768930800436
165,244.58882212030247,8898.021763774206,386.6676893084351
166,244.5888128284004,8898.021751563554,386.66768930896416
167,244.58880332754538,8898.021739090835,386.66768930967254
168,244.5887970192277,8898.021730547582,386.66768930666626
169,244.58879388210815,8898.021726337995,386.6676893056885
170,244.5887913210089,8898.021723008953,386.6676893063207
171,244.58878952922186,8898.021720674942,386.66768930669605
172,244.5887884599952,8898.021719275732,386.66768930683503
173,244.58878807100987,8898.021718745611,386.66768930660584
174,244.58878839836595,8898.021719139204,386.66768930610095
175,244.58878939402854,8898.021720388006,386.6676893052523
176,244.5887910941141,8898.021722550382,386.6676893042023
177,244.58879335526106,8898.021725409593,386.66768930258274
178,244.58879610219833,8898.021729092266,386.66768930339447
179,244.58880141436927,8898.021736453982,386.66768930815164
180,244.58880938573586,8898.021746908234,386.66768930741745
181,244.58881738525528,8898.021757375793,386.667689306367
182,244.58882520665355,8898.021767607594,386.66768930530463
183,244.58883295723484,8898.02177775788,386.6676893043988
184,244.58884041955812,8898.021787531628,386.66768930353976
185,244.58884724672149,8898.021796557452,386.6676893038699
186,244.5888559864769,8898.021808336705,386.6676893072796
187,244.5888645595722,8898.021819643636,386.6676893073342
188,244.58886989044186,8898.02182666166,386.6676893071976
189,244.58887230739813,8898.02182991938,386.6676893081433
190,244.58909432032118,8898.022122736696,386.6676893096511
191,244.58909326789845,8898.022121228869,386.66768930805284
192,244.58909164532,8898.022119099842,386.66768930818847
193,244.58908914022902,8898.022115808837,386.6676893083441
194,244.58908548919442,8898.022111012328,386.66768930857046
195,244.58908034154598,8898.022104242491,386.6676893087945
196,244.5890733209351,8898.022095012064,386.66768930913497
197,244.58906416131455,8898.022082945725,386.6676893092649
198,244.58905590888577,8898.022071875452,386.66768930673874
199,244.5890502223823,8898.022064367717,386.6676893065975
200,244.58904447321942,8898.022056855822,386.6676893074988
201,244.58903876195512,8898.022049376159,386.66768930816477
202,244.58903306444472,8898.02204189179,386.66768930852703
203,244.58902731132568,8898.022034320187,386.6676893087043
204,244.58902143910566,8898.022026580762,386.66768930873815
205,244.58901535004662,8898.022018547239,386.66768930866317
206,244.58900894412585,8898.022010091638,386.6676893085312
207,244.58900214649813,8898.022001119114,386.6676893083915
208,244.5889949405197,8898.021991610667,386.66768930828533
209,244.58898729029954,8898.021981521058,386.66768930823923
210,244.58897921502702,8898.021970884822,386.6676893083756
211,244.5889707569121,8898.021959752894,386.6676893086326
212,244.58896216319948,8898.021948400077,386.66768930832956
213,244.58895649515262,8898.02194025126,386.66768929934943
214,244.58895355652197,8898.02193615708,386.6676892964286
215,244.5889510339363,8898.02193287385,386.66768929699373
216,244.58894903640964,8898.02193028898,386.6676892976408
217,244.58894756194618,8898.021928379481,386.6676892980984
218,244.58894657385616,8898.02192708971,386.66768929827055
219,244.5889460388823,8898.021926377403,386.66768929817715
220,244.58894592157847,8898.02192619627,386.6676892978257
221,244.58894614686668,8898.021926450952,386.6676892972631
222,244.5889466422549,8898.021927063737,386.6676892967272
223,244.5889473193223,8898.021928166305,386.66768929951587
224,244.5889487421951,8898.021930688425,386.66768930810014
225,244.58895076705312,8898.021933356693,386.6676893080825
226,244.58895218392544,8898.021935168232,386.66768930733184
