,D,S3,SV
0,-0.0,-381141.0856573705,0.0
1,1.0,-365895.44223107566,16146.84455192318
2,2.0,-350649.7988047809,32293.68910384636
3,3.0,-335404.15537848603,48440.53365576954
4,4.0,-320158.51195219124,64587.37820769272
5,5.0,-304912.8685258964,80734.22275961589
6,6.0,-289667.2250996016,96881.06731153907
7,7.0,-274421.58167330676,113027.91186346224
8,8.0,-259175.93824701195,129174.75641538542
9,9.0,-243930.29482071713,145321.6009673086
10,10.0,-228684.6513944223,161468.44551923175
11,11.0,-213439.00796812747,177732.59066598397
12,12.0,-198193.36454183265,194134.63395553347
13,13.0,-182947.72111553783,210700.31709063967
14,14.0,-167702.07768924301,227464.01291457308
15,15.0,-152456.4342629482,244478.00064832112
16,16.0,-137210.79083665338,261837.79092802096
17,17.0,-121965.14741035856,279725.5537014902
18,18.0,-106719.50398406373,298262.46346711955
19,19.0,-91473.86055776892,316986.85206435306
20,20.0,-76228.2171314741,335925.5321958867
21,21.0,-60982.57370517928,355090.91357812064
22,22.0,-45736.93027888446,374446.1491336563
23,23.0,-30491.28685258964,393981.86424057756
24,24.0,-15245.64342629482,413702.41684698185
25,25.0,-0.0,433620.1196908015
26,26.0,15245.64342629482,453752.14681304677
27,27.0,30491.28685258964,474112.252340147
28,28.0,45736.93027888446,494661.25155363
29,29.0,60982.57370517928,515340.8972980727
30,30.0,76228.2171314741,536138.9417154079
31,31.0,91473.86055776892,557040.9604599612
32,32.0,106719.50398406373,578035.9106116071
33,33.0,121965.14741035856,599104.8522088409
34,34.0,137210.79083665338,620215.0198709643
35,35.0,152456.4342629482,641313.2216275242
36,36.0,167702.07768924301,662302.2552763876
37,37.0,182947.72111553783,682996.6242208903
38,38.0,198193.36454183265,703271.2169406449
39,39.0,213439.00796812747,723586.670191081
40,40.0,228684.6513944223,743915.6512400882
41,41.0,243930.29482071713,764247.4950627623
42,42.0,259175.93824701195,784619.4209983296
43,43.0,274421.58167330676,805040.3466460588
44,44.0,289667.2250996016,825508.5165593609
45,45.0,304912.8685258964,846014.9151491596
46,46.0,320158.51195219124,866544.6880209318
47,47.0,335404.15537848603,887086.2824560859
48,48.0,350649.7988047809,907634.9793776752
49,49.0,365895.44223107566,928191.5162301743
50,50.0,381141.0856573705,948761.6089817284
51,51.0,396386.7290836653,969347.6219930347
52,52.0,411632.37250996014,989944.491580039
53,53.0,426878.01593625493,1010550.7208274428
54,54.0,442123.6593625498,1031166.2738362355
55,55.0,457369.3027888446,1051793.80385512
56,56.0,472614.9462151394,1072435.7976100547
57,57.0,487860.58964143426,1093096.3068802431
58,58.0,503106.23306772904,1113781.444294188
59,59.0,518351.8764940239,1134492.449920541
60,60.0,533597.5199203187,1155229.1392238827
61,61.0,548843.1633466135,1175990.5244119877
62,62.0,564088.8067729083,1196777.7618613495
63,63.0,579334.4501992032,1217590.7835306278
64,64.0,594580.093625498,1238428.5144274498
65,65.0,609825.7370517928,1259288.4572031454
66,66.0,625071.3804780876,1280171.6744568478
67,67.0,640317.0239043825,1301079.774491777
68,68.0,655562.6673306773,1322010.1966315284
69,69.0,670808.3107569721,1342959.0428912914
70,70.0,686053.9541832668,1363921.6206118467
71,71.0,701299.5976095618,1384894.6743843125
72,72.0,716545.2410358565,1405875.214791565
73,73.0,731790.8844621513,1426857.7806610526
74,74.0,747036.5278884462,1447838.4521360763
75,75.0,762282.171314741,1468813.7951987893
76,76.0,777527.8147410358,1489780.0896275106
77,77.0,792773.4581673306,1510734.1004805244
78,78.0,808019.1015936255,1531671.688966023
79,79.0,823264.7450199203,1552590.5062215875
80,80.0,838510.3884462151,1573490.5938399085
81,81.0,853756.0318725099,1594370.6357942245
82,82.0,869001.6752988048,1615227.7506451425
83,83.0,884247.3187250996,1636061.1158241627
84,84.0,899492.9621513943,1656868.541280008
85,85.0,914738.6055776892,1677652.3090055655
86,86.0,929984.249003984,1698413.7728252811
