,P,H,T
0,244.55357390777934,8900.3054497881,386.69864280699403
1,244.55357360983604,8900.305449377878,386.69864280676256
2,244.55357324849476,8900.30544889272,386.69864280664564
3,244.55357274627914,8900.305448226803,386.6986428065945
4,244.55357200504605,8900.30544724271,386.69864280650216
5,244.5535709730888,8900.305445875716,386.69864280641474
6,244.55356955372798,8900.305443999207,386.69864280634346
7,244.5535677543297,8900.305441619046,386.69864280623705
8,244.55356607332942,8900.30543936953,386.69864280579236
9,244.5535648618621,8900.305437753357,386.69864280553867
10,244.5535635190903,8900.305435977149,386.69864280545835
11,244.55356203066353,8900.305434010337,386.6986428053969
12,244.55356037549862,8900.305431822997,386.6986428053257
13,244.55355854824418,8900.305429406679,386.698642805226
14,244.55355654268905,8900.305426754183,386.69864280511223
15,244.5535543639706,8900.30542387289,386.6986428049908
16,244.55355201696892,8900.305420770026,386.69864280487354
17,244.55354952255556,8900.305417473879,386.698642804771
18,244.55354691453743,8900.305414027142,386.6986428046557
19,244.55354420843338,8900.305410451732,386.6986428045503
20,244.55354143889392,8900.305406794902,386.6986428044734
21,244.55353866962213,8900.305403138333,386.6986428043955
22,244.55353594316807,8900.305399505856,386.6986428038879
23,244.55353409816266,8900.30539696794,386.698642802484
24,244.55353307008866,8900.305395592233,386.69864280221316
25,244.5535320335994,8900.305394158773,386.69864280132236
26,244.55353098403964,8900.305392759257,386.6986428011108
27,244.55352992728464,8900.305391359225,386.6986428010192
28,244.55352886796334,8900.305389954026,386.69864280090326
29,244.55352781198633,8900.305388550105,386.6986428007463
30,244.55352677000363,8900.305387161197,386.6986428005431
31,244.553525750629,8900.305385802358,386.69864280034403
32,244.5535247605566,8900.305384501075,386.6986428003958
33,244.55352380925675,8900.305383317404,386.69864280133123
34,244.55352223030184,8900.305381334118,386.69864280263596
35,244.55352027667567,8900.30537881041,386.69864280332376
36,244.5535187102557,8900.3053767346,386.6986428031801
37,244.5535175150489,8900.305375143746,386.69864280297827
38,244.5535165702844,8900.305373886877,386.6986428028267
39,244.5535157781042,8900.305372833358,386.69864280270497
40,244.55351503677292,8900.305371850376,386.69864280262885
41,244.55351429306063,8900.30537086552,386.69864280257013
42,244.55351349329334,8900.305369809497,386.69864280254706
43,244.55351263690193,8900.305368682168,386.69864280256957
44,244.55351176005615,8900.305367530475,386.6986428026256
45,244.55351089791412,8900.305366400538,386.69864280271344
46,244.5535101073217,8900.30536532514,386.69864280227284
47,244.55350962186358,8900.305364521866,386.69864280010387
48,244.55350940354657,8900.305364193264,386.6986427995617
49,244.55350919780378,8900.305363865866,386.6986427988156
50,244.55350899417783,8900.305363605863,386.69864279892755
51,244.55350878782406,8900.305363354359,386.6986427992004
52,244.55350857723116,8900.305363094647,386.6986427994385
53,244.5535083597182,8900.305362820458,386.69864279960507
54,244.55350813318742,8900.305362529733,386.6986427997101
55,244.55350789493488,8900.305362222489,386.6986427998012
56,244.55350764347602,8900.30536191413,386.6986428001082
57,244.55350738524152,8900.30536165725,386.6986428012179
58,244.55350692753572,8900.305361148625,386.69864280247714
59,244.5535064898382,8900.305360631533,386.69864280327255
60,244.55350637090456,8900.305360472516,386.6986428032432
61,244.55350660373395,8900.305360772956,386.69864280315744
62,244.55350715912692,8900.30536149755,386.69864280305654
63,244.55350789569331,8900.305362462816,386.6986428029801
64,244.55350870663602,8900.305363527077,386.69864280291654
65,244.55350948232507,8900.305364547457,386.6986428028874
66,244.5535101763647,8900.305365462074,386.69864280288346
67,244.5535107850979,8900.305366264549,386.6986428028828
68,244.5535112858347,8900.305366927136,386.69864280291523
69,244.55351170422,8900.305367482611,386.69864280296787
70,244.55351206332443,8900.305367962646,386.69864280305546
71,244.55351240736286,8900.305368423555,386.6986428031533
72,244.55351275488087,8900.305368860683,386.6986428028746
73,244.55351304145543,8900.305369154114,386.6986428017538
74,244.55351324000577,8900.305369418333,386.6986428017869
75,244.55351344571525,8900.305369644893,386.69864280119384
76,244.55351365758202,8900.305369929798,386.6986428012685
77,244.5535138806011,8900.305370235776,386.69864280142747
78,244.5535141193441,8900.305370557511,386.69864280152046
79,244.55351437856092,8900.305370898966,386.6986428015168
80,244.5535146639368,8900.305371268303,386.69864280142554
81,244.5535149807465,8900.305371677377,386.6986428013116
82,244.5535153359225,8900.305372151111,386.69864280138484
83,244.55351573740293,8900.305372741539,386.6986428021976
84,244.55351652096542,8900.305373822217,386.6986428028313
85,244.5535179280058,8900.305375725102,386.69864280346894
86,244.5535197206726,8900.305378079427,386.6986428033503
87,244.5535218660738,8900.305380893156,386.6986428031572
88,244.55352425739417,8900.305384034615,386.6986428030109
89,244.55352680066719,8900.305387379623,386.69864280290835
90,244.55352942438606,8900.30539084004,386.6986428029292
91,244.5535333435465,8900.305396055108,386.69864280357336
92,244.55353775285664,8900.305401876127,386.6986428036831
93,244.5535409145539,8900.30540604464,386.69864280368955
94,244.5535425734265,8900.30540823282,386.698642803707
95,244.55357358066743,8900.30544932364,386.69864280655315
96,244.55357330114757,8900.305448936266,386.6986428063023
97,244.5535729366104,8900.3054484484,386.698642806205
98,244.55357245524786,8900.305447812372,386.698642806186
99,244.55357170914203,8900.305446824732,386.69864280613217
100,244.55357066308542,8900.305445442289,386.6986428060864
101,244.5535692462459,8900.305443571055,386.6986428060406
102,244.55356744871216,8900.305441192442,386.6986428059219
103,244.5535657694249,8900.30543893814,386.6986428053839
104,244.55356456545113,8900.305437331674,386.6986428051275
105,244.55356323534912,8900.305435573495,386.69864280506505
106,244.55356175417816,8900.305433618347,386.6986428050308
107,244.55356011167345,8900.30543144882,386.69864280497507
108,244.5535582942438,8900.305429046239,386.69864280488645
109,244.55355629413563,8900.30542640202,386.6986428047865
110,244.5535541247692,8900.305423532925,386.69864280466425
111,244.553551787183,8900.305420443743,386.6986428045639
112,244.55354931581002,8900.30541717676,386.69864280444426
113,244.5535467122256,8900.305413737167,386.6986428043474
114,244.5535440126333,8900.305410171817,386.6986428042607
115,244.55354127806865,8900.305406561743,386.6986428041927
116,244.55353855905972,8900.305402968446,386.6986428040748
117,244.55353588747064,8900.305399378807,386.6986428031755
118,244.55353406867883,8900.305396920021,386.69864280236413
119,244.55353305250247,8900.305395508598,386.69864280141024
120,244.55353202315825,8900.305394072542,386.6986428003595
121,244.55353097227305,8900.305392668224,386.69864280010745
122,244.553529909899,8900.305391257209,386.69864279996847
123,244.5535288431052,8900.305389835767,386.69864279976804
124,244.55352777700074,8900.305388409588,386.6986427994925
125,244.5535267244511,8900.305386997303,386.69864279916396
126,244.55352569456952,8900.3053856228,386.69864279894057
127,244.55352468558652,8900.305384328803,386.69864279942044
128,244.55352371093556,8900.305383085053,386.6986427999671
129,244.55352210216466,8900.30538110091,386.69864280178246
130,244.55352014134664,8900.305378582045,386.6986428026598
131,244.55351858564205,8900.305376515404,386.6986428024505
132,244.5535173995587,8900.305374932585,386.69864280219525
133,244.55351646226674,8900.305373682453,386.69864280200267
134,244.55351566442616,8900.30537262083,386.69864280187204
135,244.5535149259724,8900.305371641032,386.6986428017883
136,244.55351417969223,8900.305370653328,386.6986428017364
137,244.55351337111526,8900.305369589689,386.698642801767
138,244.55351252258336,8900.305368474958,386.6986428018186
139,244.5535116463667,8900.305367330822,386.69864280196464
140,244.55351081806492,8900.305366245171,386.69864280204786
141,244.55351005244503,8900.305365167582,386.6986428011412
142,244.5535096101781,8900.305364420166,386.69864279895745
143,244.5535094060932,8900.3053640601,386.6986427977481
144,244.55350921195443,8900.305363748057,386.69864279700306
145,244.5535090171138,8900.305363508824,386.6986427972368
146,244.55350881764792,8900.305363273734,386.6986427976069
147,244.55350860708418,8900.305363019488,386.6986427979173
148,244.55350838105943,8900.305362737954,386.6986427981354
149,244.55350813943363,8900.305362430194,386.69864279827846
150,244.55350787877433,8900.305362104764,386.6986427985202
151,244.55350759261322,8900.305361793415,386.69864279939577
152,244.55350729372364,8900.305361454837,386.6986428001324
153,244.5535067859782,8900.305360912138,386.69864280181463
154,244.55350633718055,8900.305360396173,386.6986428028203
155,244.55350621188774,8900.305360227103,386.698642802768
156,244.55350647596302,8900.305360563612,386.6986428026138
157,244.55350701488823,8900.30536126569,386.6986428025024
158,244.55350775311837,8900.305362230978,386.6986428023973
159,244.55350856572258,8900.305363296718,386.6986428023237
160,244.55350934711342,8900.30536432379,386.698642802284
161,244.5535100481501,8900.305365248145,386.69864280228643
162,244.553510653365,8900.305366048296,386.69864280231735
163,244.55351116608685,8900.305366729976,386.69864280239364
164,244.55351159228624,8900.305367301327,386.6986428025193
165,244.55351198398574,8900.305367828589,386.6986428026645
166,244.55351235669215,8900.305368329848,386.6986428027962
167,244.55351274403975,8900.30536879487,386.6986428021904
168,244.55351304029352,8900.30536916231,386.69864280188284
169,244.55351323474378,8900.305369379661,386.6986428013652
170,244.55351343423328,8900.30536959551,386.6986428007389
171,244.55351363645653,8900.305369873626,386.6986428008917
172,244.5535138455525,8900.305370165059,386.6986428011019
173,244.55351406778547,8900.305370463268,386.6986428011716
174,244.55351431018082,8900.305370777154,386.6986428010963
175,244.55351457613904,8900.305371113582,386.69864280090803
176,244.5535148726222,8900.305371495642,386.69864280079145
177,244.55351520778152,8900.305371970064,386.69864280122397
178,244.55351559786087,8900.305372497365,386.69864280139706
179,244.55351637976474,8900.305373586018,386.69864280216694
180,244.5535177909715,8900.305375503147,386.69864280292046
181,244.55351958319162,8900.305377849973,386.6986428027099
182,244.55352170745903,8900.305380631185,386.69864280245486
183,244.55352410087957,8900.30538377016,386.6986428022389
184,244.5535266498128,8900.30538712173,386.6986428021238
185,244.5535292828691,8900.305390603435,386.6986428022643
186,244.55353320465076,8900.305395837653,386.6986428031169
187,244.55353760665898,8900.305401649111,386.6986428032276
188,244.5535407655106,8900.305405815066,386.6986428032496
189,244.55354243020903,8900.305408021477,386.69864280340727
190,244.55357303265697,8900.305448595727,386.6986428064805
191,244.5535727590419,8900.305448215646,386.6986428062226
192,244.55357239556378,8900.305447729786,386.6986428061339
193,244.5535719121188,8900.30544708979,386.69864280609823
194,244.55357115998765,8900.30544609491,386.6986428060537
195,244.553570098128,8900.305444691701,386.6986428060088
196,244.5535686835674,8900.305442824032,386.69864280597096
197,244.55356689731602,8900.305440458913,386.6986428058336
198,244.55356521428146,8900.30543819536,386.6986428052385
199,244.55356402868836,8900.305436612129,386.6986428049693
200,244.55356271637177,8900.305434878586,386.69864280492203
201,244.55356126390745,8900.3054329613,386.6986428048887
202,244.5535596516483,8900.30543083132,386.6986428048277
203,244.55355786177446,8900.30542846584,386.6986428047498
204,244.5535558871424,8900.305425855402,386.6986428046529
205,244.5535537385115,8900.305423014966,386.6986428045477
206,244.55355144100173,8900.305419976941,386.6986428044253
207,244.55354899577193,8900.30541674467,386.69864280430846
208,244.55354641379284,8900.305413333808,386.6986428042149
209,244.5535437445294,8900.305409808705,386.698642804132
210,244.5535410360069,8900.30540623425,386.69864280408103
211,244.55353835960022,8900.30540269739,386.69864280396723
212,244.55353573483168,8900.305399164024,386.6986428029952
213,244.5535339422893,8900.305396723632,386.6986428019685
214,244.55353293036433,8900.305395320836,386.6986428010544
215,244.5535319075688,8900.305393895822,386.6986428000365
216,244.55353086474807,8900.305392502585,386.69864279979095
217,244.55352980727505,8900.30539109826,386.69864279965384
218,244.55352874299672,8900.305389679826,386.6986427994496
219,244.55352768087914,8900.305388257308,386.6986427991526
220,244.5535266271405,8900.305386841761,386.6986427988019
221,244.55352559208634,8900.30538546076,386.6986427985827
222,244.55352458416516,8900.305384172465,386.69864279911997
223,244.5535236156314,8900.30538294549,386.6986427997819
224,244.55352199721762,8900.305380954895,386.6986428016806
225,244.55352004203436,8900.305378442694,386.69864280254825
226,244.55351849530703,8900.30537638601,386.69864280231377
227,244.55351729925914,8900.305374789725,386.698642802054
228,244.55351635580564,8900.305373531257,386.6986428018589
229,244.55351555947948,8900.30537247088,386.69864280171754
230,244.55351481349024,8900.305371481234,386.698642801635
231,244.55351406036942,8900.305370486489,386.6986428016101
232,244.55351326556638,8900.305369439433,386.6986428016198
233,244.55351242076264,8900.305368332134,386.69864280170424
234,244.5535115772342,8900.305367228819,386.6986428018198
235,244.5535107606593,8900.305366161869,386.6986428019465
236,244.55351002943806,8900.305365123933,386.6986428009641
237,244.55350959413138,8900.305364369231,386.698642798562
238,244.55350938974752,8900.305364011401,386.6986427973876
239,244.55350919114676,8900.305363695625,386.698642796671
240,244.55350898958224,8900.305363449017,386.6986427969246
241,244.5535087837308,8900.305363205995,386.6986427973011
242,244.5535085710089,8900.305362947342,386.69864279759037
243,244.55350834648445,8900.305362664854,386.6986427977697
244,244.55350810271813,8900.30536235173,386.6986427978795
245,244.5535078366611,8900.305362017878,386.6986427981032
246,244.55350754284015,8900.305361701683,386.6986427990486
247,244.55350723069685,8900.305361357056,386.69864279993703
248,244.5535067097304,8900.305360804814,386.69864280172413
249,244.5535062256451,8900.305360242317,386.69864280272947
250,244.5535061107156,8900.305360084105,386.69864280263994
251,244.55350635304612,8900.305360392935,386.69864280249897
252,244.55350690244188,8900.305361106368,386.6986428023554
253,244.5535076273497,8900.305362054141,386.69864280225056
254,244.55350841718231,8900.30536309038,386.6986428021843
255,244.55350921233648,8900.305364134805,386.6986428021337
256,244.55350992335056,8900.305365071901,386.69864280213056
257,244.55351054598324,8900.305365895132,386.6986428021626
258,244.55351107055267,8900.305366593062,386.6986428022475
259,244.55351152746155,8900.305367204212,386.69864280236527
260,244.55351192396117,8900.305367741017,386.69864280255206
261,244.55351231944383,8900.30536827275,386.69864280269
262,244.55351271907097,8900.305368749845,386.6986428020289
263,244.55351302160238,8900.305369108935,386.6986428015015
264,244.55351321585619,8900.30536932784,386.6986428010075
265,244.55351341791564,8900.305369548314,386.6986428003979
266,244.55351362448042,8900.305369828273,386.69864280049956
267,244.55351383595902,8900.305370118447,386.6986428006509
268,244.553514057221,8900.305370410792,386.6986428006593
269,244.5535142924693,8900.305370711809,386.69864280053866
270,244.5535145460689,8900.305371029463,386.6986428003171
