,P,H,T
0,244.5896952705327,8898.022914792977,386.66768930643747
1,244.58969498937392,8898.022914417152,386.6676893063694
2,244.58969403847183,8898.022913161058,386.6676893063372
3,244.58969275065982,8898.022911462242,386.667689306325
4,244.58969126436833,8898.022909503974,386.66768930634163
5,244.5896895641767,8898.022907262874,386.6676893063474
6,244.58968748557706,8898.022904524834,386.66768930637977
7,244.58968498474377,8898.022901228871,386.66768930639455
8,244.5896827052432,8898.022898213127,386.66768930625625
9,244.58968083659659,8898.022895742053,386.66768930615734
10,244.58967870082316,8898.02289292658,386.6676893061627
11,244.58967626900647,8898.022889720485,386.66768930616263
12,244.58967363410446,8898.02288624689,386.6676893061663
13,244.5896708650064,8898.0228825955,386.66768930615905
14,244.58966800063843,8898.022878818456,386.6676893061504
15,244.58966506388495,8898.022874946293,386.66768930614563
16,244.5896620528937,8898.022870977218,386.6676893061544
17,244.5896590043376,8898.022866959458,386.66768930617434
18,244.58965593965067,8898.022862918215,386.667689306164
19,244.58965292279922,8898.022858940236,386.66768930615774
20,244.58964996441347,8898.022855041065,386.66768930617343
21,244.58964705950712,8898.022851213102,386.6676893061987
22,244.58964421933533,8898.022847464832,386.6676893061483
23,244.5896422283356,8898.022844847736,386.6676893062527
24,244.58964101025242,8898.02284325749,386.66768930646134
25,244.5896397753567,8898.022841615855,386.6676893062809
26,244.58963852463106,8898.022839967163,386.66768930628484
27,244.5896372672336,8898.02283830965,386.6676893062876
28,244.58963600769567,8898.02283664685,386.6676893062593
29,244.5896347500718,8898.02283498406,386.6676893061958
30,244.58963349765725,8898.022833324963,386.66768930609135
31,244.5896322485882,8898.022831667871,386.6676893059541
32,244.58963099824282,8898.022830011487,386.66768930584914
33,244.58962974533034,8898.022828365656,386.6676893059292
34,244.58962753325517,8898.022825435353,386.6676893057447
35,244.58962456284289,8898.022821524693,386.66768930581816
36,244.5896216994521,8898.022817742307,386.66768930572204
37,244.5896189560793,8898.022814116764,386.66768930560653
38,244.58961635169817,8898.022810676513,386.667689305519
39,244.58961387430162,8898.022807404726,386.66768930544504
40,244.58961157519832,8898.022804370243,386.6676893054009
41,244.589609458774,8898.022801576679,386.6676893053577
42,244.5896075325705,8898.022799034894,386.6676893053276
43,244.58960578299414,8898.022796727395,386.66768930531646
44,244.58960418822164,8898.022794624134,386.6676893053072
45,244.58960273387734,8898.022792707048,386.66768930531174
46,244.58960138844506,8898.022790921941,386.66768930516196
47,244.5896005164877,8898.02278968626,386.66768930401855
48,244.58959995338714,8898.022788897391,386.667689303401
49,244.58959937548548,8898.022788113823,386.6676893031131
50,244.5895987804333,8898.022787332495,386.6676893031555
51,244.5895981846078,8898.02278655359,386.66768930324406
52,244.5895975913566,8898.022785776788,386.6676893033147
53,244.58959701208906,8898.022785016901,386.6676893033659
54,244.58959644751516,8898.022784274646,386.6676893033938
55,244.5895959023688,8898.022783557552,386.6676893034153
56,244.58959537252812,8898.022782865059,386.66768930349554
57,244.5895948580856,8898.022782215878,386.66768930388156
58,244.5895939675086,8898.022781127696,386.6676893050233
59,244.58959289328837,8898.022779737796,386.6676893053737
60,244.58959192256927,8898.022778458866,386.6676893053851
61,244.58959107934007,8898.022777347114,386.6676893053849
62,244.58959035745033,8898.022776393853,386.667689305365
63,244.58958976474653,8898.022775611755,386.6676893053555
64,244.58958926030147,8898.022774945712,386.6676893053425
65,244.58958884215053,8898.022774394296,386.6676893053414
66,244.58958848448543,8898.022773923158,386.6676893053469
67,244.58958817171393,8898.02277351043,386.66768930534187
68,244.5895878990111,8898.022773151493,386.6676893053496
69,244.58958762881917,8898.022772796081,386.66768930536074
70,244.58958738157426,8898.022772471919,386.66768930538467
71,244.58958714296912,8898.022772159387,386.6676893054122
72,244.58958696553995,8898.022771921958,386.6676893053652
73,244.58958685669285,8898.022771759526,386.6676893051138
74,244.5895867381814,8898.022771603497,386.6676893051165
75,244.58958662248554,8898.022771439764,386.66768930496767
76,244.58958651936408,8898.02277130915,386.66768930503923
77,244.5895864380516,8898.022771207463,386.66768930511284
78,244.58958638302664,8898.022771137752,386.6676893051497
79,244.58958635239634,8898.022771096768,386.66768930514195
80,244.58958634680602,8898.02277108555,386.6676893050908
81,244.58958636146596,8898.022771099277,386.6676893050166
82,244.58958639262858,8898.022771136437,386.66768930496403
83,244.58958643302387,8898.022771200467,386.6676893051072
84,244.58958650357542,8898.02277130679,386.667689305284
85,244.58958669913747,8898.022771576872,386.6676893054469
86,244.58958685888706,8898.022771782085,386.6676893053751
87,244.589587002331,8898.022771964166,386.66768930528144
88,244.5895871511485,8898.022772155702,386.66768930522
89,244.5895872824015,8898.022772325163,386.667689305172
90,244.58958737513603,8898.022772445738,386.66768930515
91,244.58958744347612,8898.022772552098,386.6676893053661
92,244.58958760816995,8898.02277276999,386.66768930537614
93,244.58958763510148,8898.022772803777,386.66768930535284
94,244.58958755890598,8898.022772702216,386.667689305338
95,244.58969536211106,8898.02291489705,386.66768930621635
96,244.58969503502226,8898.022914458797,386.6676893061233
97,244.5896940481524,8898.022913156854,386.6676893061122
98,244.58969276258384,8898.022911461225,386.6676893061022
99,244.58969132700858,8898.022909571411,386.66768930614046
